               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077908,             0.01785,            0.065508,             0.30574,             0.25877,             0.16537,            0.065532,            0.054677,            0.012986,            0.056459,             0.00116,             0.00116,             0.08956
                   1,            0.049736,            0.011621,            0.048463,             0.50901,             0.51077,             0.51476,             0.22504,            0.044878,           0.0078223,            0.042149,             0.00233,             0.00233,             0.07903
                   2,            0.042659,           0.0096252,            0.034219,             0.56644,             0.62206,             0.66642,              0.3549,            0.034374,           0.0073444,            0.029563,           0.0034998,           0.0034998,              0.0685
                   3,            0.037451,           0.0081495,            0.023802,             0.66918,              0.7159,             0.78269,             0.42778,            0.034842,           0.0073657,            0.022895,           0.0046694,           0.0046694,            0.057969
                   4,            0.040596,            0.008426,            0.021589,             0.68851,             0.67163,             0.72438,             0.36038,            0.043099,            0.010614,            0.032206,           0.0058387,           0.0058387,            0.047439
                   5,            0.039215,           0.0079558,            0.015645,             0.82634,             0.72767,             0.85975,             0.47123,            0.034125,           0.0068135,            0.012612,           0.0070076,           0.0070076,            0.036908
                   6,            0.036528,           0.0075588,            0.012819,             0.81554,             0.74136,             0.82619,             0.46907,            0.033691,            0.008503,            0.014558,           0.0081759,           0.0081759,            0.026376
                   7,            0.035372,           0.0073769,            0.010515,              0.8419,             0.81226,             0.88772,             0.56574,            0.030776,           0.0059494,           0.0061045,           0.0093436,           0.0093436,            0.015844
                   8,            0.035872,           0.0076279,            0.011306,             0.81109,             0.65958,              0.7359,             0.42574,            0.038524,           0.0098393,            0.016247,           0.0099911,           0.0099911,           0.0099911
                   9,            0.034888,           0.0074274,            0.010998,             0.87878,             0.85433,             0.93304,             0.58493,            0.031302,           0.0064167,           0.0067206,           0.0099911,           0.0099911,           0.0099911
                  10,            0.033091,           0.0069622,           0.0084764,             0.93067,             0.84521,                0.93,             0.58313,            0.028984,           0.0051374,           0.0061985,           0.0099888,           0.0099888,           0.0099888
                  11,             0.03326,           0.0072956,            0.010448,             0.87152,             0.60783,             0.68619,             0.38139,            0.045989,            0.014033,            0.037541,           0.0099861,           0.0099861,           0.0099861
                  12,             0.03252,           0.0071489,           0.0093647,             0.87567,             0.89273,             0.94732,              0.5978,            0.028945,            0.005083,           0.0060785,           0.0099832,           0.0099832,           0.0099832
                  13,            0.030888,           0.0066822,            0.007824,             0.96449,             0.90816,             0.96696,             0.62851,             0.02685,            0.005046,           0.0038272,             0.00998,             0.00998,             0.00998
                  14,             0.03095,           0.0067508,           0.0080498,             0.92511,              0.8493,             0.93554,              0.6006,             0.02905,           0.0051152,           0.0047656,           0.0099766,           0.0099766,           0.0099766
                  15,             0.03031,           0.0065922,           0.0077486,              0.9333,             0.87188,             0.95572,             0.61896,            0.027051,           0.0051853,           0.0043106,           0.0099728,           0.0099728,           0.0099728
                  16,            0.029612,           0.0065828,           0.0068891,             0.93323,             0.91053,             0.96571,             0.64286,            0.025728,           0.0051612,             0.00367,           0.0099688,           0.0099688,           0.0099688
                  17,            0.031172,           0.0068668,           0.0086757,             0.49832,             0.42483,             0.36673,             0.20344,            0.052743,            0.012844,            0.056522,           0.0099645,           0.0099645,           0.0099645
                  18,            0.034198,           0.0077555,            0.011888,                0.93,             0.78682,             0.89348,              0.5631,            0.031476,           0.0055446,             0.01647,           0.0099599,           0.0099599,           0.0099599
                  19,            0.031118,           0.0067578,            0.008559,              0.9149,             0.81652,             0.91662,              0.6058,            0.027326,           0.0072458,             0.01094,           0.0099551,           0.0099551,           0.0099551
                  20,            0.029671,           0.0064001,           0.0074061,             0.94533,             0.89122,             0.96051,             0.65809,              0.0254,            0.004492,           0.0039818,             0.00995,             0.00995,             0.00995
                  21,            0.029058,           0.0061854,           0.0072129,             0.92226,             0.91805,             0.96736,              0.6562,            0.025458,           0.0044746,           0.0039233,           0.0099446,           0.0099446,           0.0099446
                  22,            0.029877,           0.0066837,           0.0080244,             0.93376,             0.89556,             0.96569,             0.63054,            0.025635,            0.004504,           0.0038342,           0.0099389,           0.0099389,           0.0099389
                  23,             0.02858,           0.0063331,           0.0068647,             0.92755,             0.89633,             0.95291,             0.67571,            0.023847,           0.0043259,           0.0040971,            0.009933,            0.009933,            0.009933
                  24,            0.028298,           0.0062298,           0.0070898,             0.90487,             0.92887,              0.9667,             0.66064,            0.025161,           0.0044881,           0.0043927,           0.0099268,           0.0099268,           0.0099268
                  25,             0.02815,           0.0061427,           0.0066133,             0.94583,             0.90913,             0.96864,             0.64898,             0.02562,           0.0044835,           0.0030706,           0.0099203,           0.0099203,           0.0099203
                  26,             0.02811,           0.0058902,           0.0064377,             0.91197,             0.90289,             0.95698,             0.64729,            0.026154,           0.0044625,           0.0053108,           0.0099135,           0.0099135,           0.0099135
                  27,            0.027656,           0.0059028,            0.006363,             0.95013,             0.91323,             0.96833,             0.65617,            0.026684,           0.0043772,           0.0033513,           0.0099065,           0.0099065,           0.0099065
                  28,            0.027914,           0.0058598,           0.0061646,             0.93204,             0.91557,             0.97361,             0.67303,             0.02439,            0.004587,            0.003641,           0.0098992,           0.0098992,           0.0098992
                  29,            0.027069,           0.0058283,           0.0056867,             0.94187,             0.91603,               0.975,             0.65413,            0.026194,           0.0045415,            0.002899,           0.0098916,           0.0098916,           0.0098916
                  30,            0.027423,           0.0059275,           0.0062088,             0.97063,             0.90976,             0.97412,             0.68608,            0.025193,           0.0044201,           0.0029345,           0.0098838,           0.0098838,           0.0098838
                  31,            0.027478,           0.0058765,           0.0062116,             0.93463,             0.95295,             0.98158,             0.68746,            0.022526,           0.0041415,           0.0027366,           0.0098757,           0.0098757,           0.0098757
                  32,            0.026802,           0.0057523,           0.0058213,             0.97004,             0.93722,             0.98158,             0.69385,            0.022679,           0.0041133,           0.0023974,           0.0098673,           0.0098673,           0.0098673
