               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12494,            0.019994,            0.034447,           0.0008247,                0.04,          0.00027065,          2.7065e-05,             0.13127,            0.014454,            0.039139,               1e-05,               1e-05,             0.09991
                   1,             0.12572,            0.020316,            0.033539,          0.00098197,                0.04,          0.00027424,          5.4848e-05,              0.1294,            0.014816,             0.03873,          2.9999e-05,          2.9999e-05,             0.09973
                   2,             0.12107,            0.020743,            0.032333,           0.0012687,                0.06,          0.00070137,          9.4919e-05,             0.12666,             0.01535,            0.038085,          4.9996e-05,          4.9996e-05,             0.09955
                   3,             0.12252,            0.022881,            0.033097,           0.0014858,                0.16,          0.00091652,          0.00013906,             0.12355,            0.015993,            0.037287,          6.9989e-05,          6.9989e-05,             0.09937
                   4,             0.11749,            0.022886,            0.032154,           0.0027263,                0.07,           0.0014802,           0.0002516,             0.11958,            0.016883,             0.03621,          8.9974e-05,          8.9974e-05,             0.09919
                   5,             0.11841,            0.024489,            0.031584,           0.0038603,                0.02,           0.0022562,          0.00045926,             0.11524,            0.017926,             0.03506,          0.00010995,          0.00010995,             0.09901
                   6,             0.11627,            0.024102,            0.030606,           0.0035636,                0.49,             0.00298,          0.00083668,             0.11119,            0.018977,            0.033923,          0.00012992,          0.00012992,             0.09883
                   7,             0.11409,            0.025851,            0.030487,            0.017248,                0.02,           0.0041294,           0.0011342,             0.10793,            0.019807,            0.032685,          0.00014987,          0.00014987,             0.09865
                   8,               0.113,            0.028966,            0.030119,            0.012949,                0.02,            0.004045,           0.0011107,             0.10584,            0.020321,            0.031818,           0.0001698,           0.0001698,             0.09847
                   9,             0.11139,            0.027399,            0.029199,            0.012144,                0.02,           0.0049981,            0.001425,             0.10383,            0.020766,            0.030886,          0.00018972,          0.00018972,             0.09829
                  10,             0.11139,            0.032128,            0.028912,             0.88833,                0.02,            0.023131,           0.0031094,              0.1025,            0.021032,            0.030132,          0.00020962,          0.00020962,             0.09811
                  11,             0.10813,             0.02916,            0.028414,             0.74715,                0.02,            0.015435,           0.0021824,             0.10107,            0.021346,            0.029437,           0.0002295,           0.0002295,            0.097929
                  12,             0.10535,            0.027689,             0.02847,             0.62263,                0.02,            0.013057,           0.0022871,             0.10013,            0.021462,             0.02858,          0.00024935,          0.00024935,            0.097749
                  13,             0.10818,            0.029019,              0.0279,             0.02718,                0.06,            0.015681,            0.002534,            0.099182,            0.021599,            0.028064,          0.00026917,          0.00026917,            0.097569
                  14,              0.1034,            0.030329,            0.026914,            0.044499,            0.039117,            0.016392,           0.0027811,            0.098593,            0.021632,            0.027605,          0.00028897,          0.00028897,            0.097389
                  15,             0.10158,            0.030244,            0.026492,            0.057981,                0.04,            0.015681,           0.0029517,            0.097753,            0.021786,            0.027161,          0.00030874,          0.00030874,            0.097209
                  16,            0.099583,            0.030685,            0.026266,            0.058221,                0.04,            0.019951,           0.0037972,             0.09623,             0.02215,            0.026527,          0.00032847,          0.00032847,            0.097028
                  17,            0.099226,            0.032167,            0.025575,            0.027017,                0.36,            0.023844,           0.0041184,            0.095091,            0.022262,            0.026048,          0.00034817,          0.00034817,            0.096848
                  18,             0.10081,            0.035199,            0.026118,            0.066438,                0.06,            0.029401,           0.0057131,            0.093289,             0.02254,            0.025627,          0.00036783,          0.00036783,            0.096668
                  19,            0.096211,            0.033527,            0.025385,            0.053206,                0.17,            0.035284,           0.0080005,            0.092079,            0.022612,            0.025459,          0.00038745,          0.00038745,            0.096487
                  20,            0.095607,              0.0355,            0.025067,            0.099576,                0.17,            0.055745,            0.011134,            0.090444,            0.022751,            0.025255,          0.00040704,          0.00040704,            0.096307
                  21,            0.094699,            0.034536,            0.024757,             0.12781,             0.24594,            0.082234,            0.020759,            0.089024,            0.022851,            0.024996,          0.00042657,          0.00042657,            0.096127
                  22,            0.092487,            0.034722,            0.023969,             0.14448,                0.31,             0.10371,             0.02346,            0.087565,             0.02289,            0.024713,          0.00044606,          0.00044606,            0.095946
                  23,            0.090071,             0.03758,            0.023851,             0.18042,                0.21,             0.10309,            0.023393,            0.086223,            0.022804,             0.02453,          0.00046551,          0.00046551,            0.095766
                  24,            0.089366,            0.032033,            0.023024,             0.16875,                0.33,              0.1269,            0.029355,            0.084992,            0.022682,             0.02441,           0.0004849,           0.0004849,            0.095585
                  25,            0.087344,            0.034449,            0.022526,             0.18427,                0.25,             0.11033,            0.019569,            0.083269,            0.022685,            0.024384,          0.00050425,          0.00050425,            0.095404
                  26,            0.084847,             0.03958,            0.022299,             0.26281,                0.17,             0.11745,            0.024678,            0.081453,            0.022702,            0.024358,          0.00052353,          0.00052353,            0.095224
                  27,            0.083233,            0.037947,            0.022975,             0.14311,                0.33,             0.12264,            0.030323,            0.080239,            0.022758,            0.024312,          0.00054277,          0.00054277,            0.095043
                  28,            0.078429,            0.036447,            0.022223,             0.20349,                0.33,             0.15815,            0.027102,            0.078913,            0.022625,            0.024301,          0.00056194,          0.00056194,            0.094862
                  29,            0.077866,            0.036741,             0.02111,             0.13894,                0.55,             0.17901,            0.037806,            0.076243,            0.022719,            0.024297,          0.00058106,          0.00058106,            0.094681
                  30,            0.075314,            0.033805,            0.021869,             0.15986,                0.53,             0.15581,            0.033545,            0.075537,            0.022555,            0.024222,          0.00060011,          0.00060011,              0.0945
                  31,            0.074549,            0.033284,            0.020958,             0.20563,                0.28,             0.19991,            0.049868,            0.073855,            0.022153,            0.024306,           0.0006191,           0.0006191,            0.094319
                  32,            0.072896,            0.042045,             0.02112,             0.13784,                0.55,             0.14002,            0.041556,            0.074589,            0.022211,            0.024237,          0.00063802,          0.00063802,            0.094138
                  33,             0.06862,            0.032811,            0.020764,             0.77955,                0.24,             0.25199,            0.067064,            0.070672,            0.022285,            0.024103,          0.00065687,          0.00065687,            0.093957
                  34,            0.069593,               0.032,            0.021822,             0.23195,                 0.6,             0.30812,             0.08753,            0.069381,            0.022477,            0.023793,          0.00067565,          0.00067565,            0.093776
                  35,            0.068153,            0.032951,            0.021248,             0.20198,                0.62,             0.19198,            0.052922,            0.070881,            0.023174,            0.023521,          0.00069436,          0.00069436,            0.093594
                  36,            0.070447,             0.02921,            0.019874,               0.195,                0.57,             0.14412,            0.043982,            0.079737,            0.023864,            0.023206,            0.000713,            0.000713,            0.093413
                  37,             0.07405,            0.033676,            0.020621,             0.21113,                0.67,             0.20326,            0.066929,            0.073536,            0.023835,            0.022836,          0.00073156,          0.00073156,            0.093232
                  38,            0.069438,            0.027716,            0.020352,             0.22615,                0.62,             0.20797,            0.070645,            0.079072,            0.024464,            0.022446,          0.00075004,          0.00075004,             0.09305
                  39,            0.073147,            0.034448,            0.020702,             0.27628,                0.62,              0.2704,            0.093269,            0.071154,             0.02322,            0.021848,          0.00076844,          0.00076844,            0.092868
                  40,            0.065082,            0.027146,            0.019893,             0.24345,                0.67,             0.21924,            0.085321,            0.072112,            0.023665,            0.021434,          0.00078676,          0.00078676,            0.092687
                  41,            0.068569,             0.03048,            0.019204,             0.35309,             0.56371,             0.29144,            0.097151,            0.074505,            0.022916,            0.020991,          0.00080499,          0.00080499,            0.092505
                  42,            0.068365,            0.031293,            0.019859,              0.6749,                0.48,             0.34798,             0.14635,            0.070873,             0.02255,             0.02058,          0.00082314,          0.00082314,            0.092323
                  43,            0.066258,             0.02761,            0.018987,             0.26427,             0.66973,             0.35816,             0.13324,            0.073946,            0.022146,            0.020083,           0.0008412,           0.0008412,            0.092141
                  44,            0.064711,            0.029144,            0.019226,             0.69222,             0.52228,             0.55363,             0.25974,            0.066889,            0.021764,            0.019408,          0.00085917,          0.00085917,            0.091959
                  45,            0.062735,            0.026369,             0.01723,              0.4296,             0.66978,             0.56621,              0.2313,            0.070363,            0.021973,             0.01887,          0.00087705,          0.00087705,            0.091777
                  46,            0.064793,            0.029184,            0.017361,             0.45162,                 0.6,             0.53548,             0.19286,            0.070474,            0.021771,            0.018386,          0.00089483,          0.00089483,            0.091595
                  47,             0.06444,            0.026483,            0.017757,              0.7364,                0.55,             0.65883,             0.27458,            0.062457,            0.021266,            0.018005,          0.00091252,          0.00091252,            0.091413
                  48,             0.06349,            0.027115,             0.01757,             0.66221,             0.55023,             0.63108,             0.25401,            0.072379,            0.021125,            0.017268,          0.00093011,          0.00093011,             0.09123
                  49,            0.064662,            0.024448,            0.017149,             0.62672,                0.67,             0.57404,              0.1968,            0.066144,            0.021001,            0.016723,           0.0009476,           0.0009476,            0.091048
                  50,            0.066173,            0.026017,            0.015822,             0.60857,             0.66954,             0.61322,             0.22792,            0.075381,            0.020583,            0.016089,          0.00096499,          0.00096499,            0.090865
                  51,            0.065024,            0.026534,            0.015621,             0.68116,                0.67,             0.68594,             0.30059,            0.059485,            0.019999,            0.015428,          0.00098228,          0.00098228,            0.090682
                  52,            0.061832,            0.026259,            0.016039,               0.609,                0.67,             0.59256,               0.203,            0.071064,            0.020301,            0.014917,          0.00099946,          0.00099946,            0.090499
                  53,            0.066316,            0.023826,            0.015743,             0.56536,                0.62,             0.51463,             0.19145,            0.076403,            0.019105,            0.014284,           0.0010165,           0.0010165,            0.090317
                  54,            0.065247,            0.024415,            0.013984,             0.70306,             0.66877,             0.64701,             0.22075,            0.060219,            0.018531,            0.013559,           0.0010335,           0.0010335,            0.090134
                  55,            0.059681,            0.027342,            0.013381,             0.82818,             0.61009,             0.66873,             0.32839,            0.062527,            0.017952,            0.013256,           0.0010504,           0.0010504,             0.08995
                  56,            0.059649,            0.024149,            0.012807,             0.67829,                0.67,             0.66817,             0.17398,            0.063183,             0.01779,             0.01305,           0.0010671,           0.0010671,            0.089767
                  57,            0.057447,            0.022725,            0.012563,               0.702,             0.66535,              0.6458,             0.26328,            0.062266,            0.017267,            0.012523,           0.0010837,           0.0010837,            0.089584
                  58,            0.060429,            0.023933,            0.012496,             0.66267,                0.67,             0.56246,             0.22443,            0.068474,            0.017226,            0.012167,           0.0011002,           0.0011002,              0.0894
                  59,            0.062562,             0.02312,            0.012209,             0.46323,             0.76931,             0.49643,             0.17209,            0.062637,            0.017022,            0.011655,           0.0011166,           0.0011166,            0.089217
                  60,            0.061189,            0.023719,            0.010892,             0.66486,             0.48453,             0.58585,             0.20182,            0.064018,            0.016451,            0.010878,           0.0011329,           0.0011329,            0.089033
                  61,            0.060984,            0.023743,            0.010381,             0.32705,             0.76995,              0.4791,             0.16687,            0.071497,            0.015899,            0.010662,           0.0011491,           0.0011491,            0.088849
                  62,            0.063994,            0.024436,            0.010776,             0.37813,             0.76933,             0.52888,             0.22716,            0.062035,            0.015764,            0.010336,           0.0011651,           0.0011651,            0.088665
                  63,            0.068671,            0.024925,            0.010214,             0.29848,                0.72,             0.44942,             0.13121,            0.084189,            0.015918,            0.010123,            0.001181,            0.001181,            0.088481
                  64,             0.07301,             0.02271,           0.0094331,             0.67765,             0.55109,             0.60577,             0.31061,             0.06199,            0.015213,           0.0094951,           0.0011968,           0.0011968,            0.088297
                  65,            0.066333,            0.020135,           0.0091266,             0.73574,             0.57018,             0.58362,             0.23176,            0.085798,            0.015104,            0.009221,           0.0012125,           0.0012125,            0.088112
                  66,            0.072258,            0.019234,           0.0088577,             0.71395,             0.56974,             0.61381,             0.24632,            0.057318,            0.015472,           0.0087123,            0.001228,            0.001228,            0.087928
                  67,            0.060853,            0.025004,           0.0091167,             0.95003,             0.49903,             0.65576,             0.30671,            0.063662,            0.015008,           0.0083475,           0.0012434,           0.0012434,            0.087743
